Age,Gender,Marital_Status,Income_Level,Transaction_Frequency,Total_Monetary_Value,Avg_Transaction_Value,Category_Diversity,Total_Interactions,Complaint_Count,Unresolved_Complaint_Ratio,Login_Frequency,Days_Since_Last_Login,Service_Channel,Churn
37,Female,Widowed,Low,3,687.8199999999999,229.2733333333333,2,1.0,0.0,0.0,35,49,Mobile App,0
32,Female,Widowed,Low,1,300.42,300.42,1,1.0,1.0,1.0,49,121,Online Banking,0
57,Female,Married,High,1,134.67,134.67,1,0.0,0.0,0.0,24,154,Online Banking,1
50,Female,Married,Medium,7,1466.37,209.48142857142855,5,0.0,0.0,0.0,21,257,Website,0
19,Male,Divorced,Medium,7,1597.29,228.18428571428572,5,0.0,0.0,0.0,34,203,Website,0
27,Female,Single,Medium,3,641.48,213.82666666666668,3,0.0,0.0,0.0,18,316,Online Banking,0
50,Female,Single,Low,4,1514.62,378.655,3,2.0,1.0,1.0,19,170,Online Banking,0
49,Male,Divorced,Medium,3,549.86,183.28666666666666,3,0.0,0.0,0.0,3,62,Mobile App,1
28,Male,Widowed,Medium,1,401.25,401.25,1,0.0,0.0,0.0,6,319,Mobile App,0
41,Female,Widowed,Low,7,1255.34,179.3342857142857,4,0.0,0.0,0.0,20,91,Mobile App,0
53,Female,Married,Low,2,461.21000000000004,230.60500000000002,2,2.0,1.0,0.0,22,346,Online Banking,0
29,Female,Single,Low,5,1129.35,225.86999999999998,3,0.0,0.0,0.0,33,136,Website,0
68,Female,Married,Low,5,1443.46,288.692,4,0.0,0.0,0.0,14,134,Mobile App,0
46,Female,Divorced,High,3,597.75,199.25,3,1.0,1.0,1.0,44,165,Online Banking,0
52,Male,Single,High,6,2215.82,369.30333333333334,4,2.0,1.0,1.0,9,259,Online Banking,0
18,Male,Married,Medium,3,292.51,97.50333333333333,2,0.0,0.0,0.0,45,21,Online Banking,0
18,Female,Single,High,4,781.09,195.2725,4,2.0,0.0,0.0,25,305,Mobile App,0
54,Male,Single,Low,3,678.97,226.32333333333335,2,1.0,1.0,0.0,47,5,Website,1
23,Female,Married,High,4,840.0,210.0,4,2.0,1.0,0.0,16,127,Mobile App,0
56,Male,Married,Low,9,2205.11,245.01222222222225,5,0.0,0.0,0.0,7,220,Mobile App,0
58,Female,Single,High,3,965.21,321.7366666666667,3,0.0,0.0,0.0,11,212,Online Banking,0
35,Female,Divorced,Low,5,1359.8899999999999,271.97799999999995,3,0.0,0.0,0.0,27,98,Mobile App,0
33,Male,Widowed,Medium,8,1409.11,176.13875,4,0.0,0.0,0.0,40,137,Online Banking,0
22,Female,Single,Medium,4,701.76,175.44,2,2.0,0.0,0.0,17,162,Online Banking,0
59,Female,Divorced,High,4,886.4799999999999,221.61999999999998,4,2.0,1.0,1.0,5,160,Website,1
60,Female,Single,Low,4,1038.53,259.6325,3,1.0,0.0,0.0,29,49,Mobile App,0
49,Female,Married,Medium,7,2453.98,350.56857142857143,4,0.0,0.0,0.0,10,292,Mobile App,0
19,Female,Divorced,Low,3,474.59000000000003,158.1966666666667,2,2.0,0.0,0.0,47,137,Online Banking,1
19,Female,Divorced,High,6,1080.4,180.0666666666667,3,2.0,2.0,0.5,25,251,Online Banking,1
57,Male,Single,Low,9,2254.22,250.46888888888887,3,1.0,0.0,0.0,24,66,Online Banking,1
59,Male,Widowed,Low,8,2083.79,260.47375,5,1.0,1.0,0.0,44,316,Mobile App,0
53,Female,Single,High,4,769.97,192.4925,4,1.0,0.0,0.0,12,198,Mobile App,1
56,Female,Widowed,Medium,4,883.92,220.98,2,2.0,1.0,1.0,5,237,Website,1
29,Male,Divorced,High,8,1797.06,224.6325,3,0.0,0.0,0.0,29,78,Online Banking,0
64,Male,Widowed,Low,3,816.89,272.2966666666667,2,1.0,0.0,0.0,35,86,Mobile App,0
36,Male,Married,High,3,931.3199999999999,310.44,2,1.0,1.0,0.0,23,256,Online Banking,1
45,Male,Widowed,High,1,110.82,110.82,1,0.0,0.0,0.0,32,206,Mobile App,0
18,Female,Widowed,Low,8,2181.77,272.72125,4,0.0,0.0,0.0,40,29,Website,1
32,Female,Divorced,High,1,232.38,232.38,1,0.0,0.0,0.0,19,238,Mobile App,0
53,Male,Widowed,Medium,6,1419.9199999999998,236.6533333333333,4,2.0,0.0,0.0,25,1,Mobile App,0
30,Male,Divorced,Medium,5,1545.91,309.182,4,0.0,0.0,0.0,45,32,Online Banking,0
60,Male,Married,High,9,1690.08,187.78666666666666,4,0.0,0.0,0.0,37,146,Mobile App,0
38,Male,Married,Low,7,1674.6599999999999,239.23714285714283,3,0.0,0.0,0.0,1,75,Website,0
29,Female,Single,High,5,1411.84,282.368,4,2.0,1.0,1.0,43,40,Website,0
22,Male,Single,High,2,447.34000000000003,223.67000000000002,2,0.0,0.0,0.0,13,327,Online Banking,0
24,Male,Single,Medium,7,1951.99,278.85571428571427,4,0.0,0.0,0.0,12,117,Mobile App,0
22,Male,Married,Medium,6,1229.96,204.99333333333334,4,1.0,0.0,0.0,47,216,Online Banking,0
65,Female,Widowed,Low,9,1804.74,200.52666666666667,5,2.0,0.0,0.0,43,332,Mobile App,0
21,Female,Divorced,Low,8,2265.28,283.16,5,2.0,0.0,0.0,37,184,Mobile App,0
30,Female,Married,Low,5,848.07,169.614,3,2.0,2.0,0.0,42,77,Mobile App,0
54,Male,Widowed,High,3,1113.6100000000001,371.2033333333334,2,0.0,0.0,0.0,41,188,Website,0
58,Female,Single,High,3,677.27,225.75666666666666,3,1.0,1.0,0.0,12,195,Online Banking,0
32,Female,Divorced,High,1,161.84,161.84,1,2.0,2.0,1.0,36,308,Mobile App,0
33,Male,Single,High,2,553.65,276.825,1,2.0,1.0,0.0,38,12,Website,0
38,Female,Divorced,Low,5,893.76,178.752,4,1.0,0.0,0.0,9,223,Mobile App,0
53,Male,Widowed,Low,5,889.75,177.95,4,0.0,0.0,0.0,14,325,Online Banking,0
41,Female,Married,Low,4,1108.56,277.14,2,2.0,1.0,0.0,45,213,Online Banking,1
33,Female,Single,High,1,492.35,492.35,1,2.0,0.0,0.0,35,351,Online Banking,0
31,Male,Married,High,6,2029.96,338.32666666666665,4,2.0,1.0,1.0,32,352,Online Banking,0
39,Male,Widowed,Low,9,2297.73,255.30333333333334,4,2.0,0.0,0.0,46,249,Mobile App,0
66,Female,Widowed,Medium,9,2666.84,296.3155555555556,4,2.0,0.0,0.0,3,284,Online Banking,1
67,Female,Widowed,Low,8,1863.6,232.95,3,2.0,0.0,0.0,30,8,Website,0
23,Male,Married,High,3,875.08,291.6933333333333,3,2.0,1.0,1.0,49,165,Mobile App,0
59,Female,Married,High,6,1542.76,257.12666666666667,4,0.0,0.0,0.0,7,339,Online Banking,1
53,Male,Divorced,Low,2,494.30999999999995,247.15499999999997,2,2.0,0.0,0.0,1,283,Mobile App,1
18,Male,Married,Medium,6,1274.7,212.45000000000002,5,2.0,1.0,1.0,20,248,Mobile App,0
49,Male,Married,Medium,3,723.0,241.0,3,2.0,0.0,0.0,25,83,Website,1
23,Female,Widowed,High,2,613.1800000000001,306.59000000000003,2,1.0,0.0,0.0,33,198,Website,1
48,Female,Divorced,High,3,750.17,250.05666666666664,3,1.0,0.0,0.0,35,77,Website,0
18,Female,Married,High,7,1834.01,262.00142857142856,4,1.0,1.0,1.0,44,264,Online Banking,0
67,Female,Married,Low,8,2133.28,266.66,5,0.0,0.0,0.0,24,152,Website,0
68,Female,Widowed,High,5,653.62,130.724,4,0.0,0.0,0.0,14,102,Mobile App,0
54,Male,Married,High,7,1504.28,214.89714285714285,3,1.0,1.0,0.0,39,134,Mobile App,0
52,Female,Widowed,High,2,448.48,224.24,2,0.0,0.0,0.0,44,7,Online Banking,0
66,Male,Divorced,Medium,6,1625.39,270.89833333333337,4,1.0,0.0,0.0,34,92,Online Banking,0
47,Male,Widowed,Medium,8,2012.3300000000002,251.54125000000002,5,2.0,1.0,0.0,18,278,Mobile App,1
21,Female,Widowed,High,6,1168.79,194.79833333333332,3,2.0,1.0,0.0,2,312,Online Banking,0
52,Male,Divorced,Medium,5,1073.01,214.602,4,2.0,2.0,0.5,38,114,Mobile App,0
60,Female,Single,Medium,9,2825.52,313.94666666666666,5,1.0,0.0,0.0,17,201,Mobile App,1
31,Male,Widowed,Medium,3,938.58,312.86,2,2.0,0.0,0.0,23,292,Mobile App,1
66,Male,Married,Medium,7,2283.88,326.2685714285714,4,2.0,0.0,0.0,33,316,Website,0
57,Male,Widowed,Low,2,744.89,372.445,2,0.0,0.0,0.0,28,194,Online Banking,0
39,Female,Divorced,Medium,9,2323.02,258.11333333333334,4,0.0,0.0,0.0,15,232,Website,0
27,Female,Married,Medium,8,1976.17,247.02125,4,1.0,0.0,0.0,11,348,Website,0
18,Female,Divorced,Medium,2,630.2,315.1,2,2.0,2.0,0.5,23,178,Website,1
28,Female,Widowed,Medium,2,243.55,121.775,2,1.0,0.0,0.0,13,286,Website,0
68,Male,Divorced,Low,2,552.23,276.115,1,1.0,0.0,0.0,47,310,Mobile App,0
61,Female,Divorced,Low,8,2726.7,340.8375,5,1.0,0.0,0.0,11,99,Website,0
41,Female,Single,High,9,1879.94,208.88222222222223,5,0.0,0.0,0.0,36,200,Website,0
20,Male,Widowed,Medium,4,896.27,224.0675,2,1.0,0.0,0.0,38,263,Mobile App,0
52,Male,Widowed,Medium,6,1570.08,261.68,4,1.0,0.0,0.0,27,361,Mobile App,0
53,Female,Widowed,High,2,441.75,220.875,2,0.0,0.0,0.0,18,196,Mobile App,0
48,Male,Widowed,Low,2,419.86,209.93,2,0.0,0.0,0.0,40,55,Mobile App,0
21,Female,Married,High,1,431.47,431.47,1,0.0,0.0,0.0,38,196,Online Banking,1
36,Male,Divorced,Low,8,2804.65,350.58125,4,1.0,0.0,0.0,34,287,Online Banking,0
64,Female,Widowed,High,7,2045.49,292.21285714285716,2,2.0,0.0,0.0,22,212,Website,0
53,Male,Married,High,3,1024.23,341.41,2,1.0,0.0,0.0,18,72,Mobile App,0
38,Female,Widowed,Medium,7,2483.75,354.82142857142856,4,2.0,2.0,0.0,41,187,Online Banking,0
35,Male,Divorced,High,5,1391.99,278.398,3,1.0,0.0,0.0,18,249,Mobile App,0
68,Female,Widowed,Low,2,343.27,171.635,1,1.0,0.0,0.0,13,7,Website,0
45,Female,Married,Low,1,419.85,419.85,1,1.0,0.0,0.0,39,317,Online Banking,1
32,Female,Married,High,5,1768.7,353.74,2,2.0,1.0,1.0,16,82,Online Banking,0
59,Female,Divorced,Low,5,1373.73,274.746,4,0.0,0.0,0.0,8,20,Mobile App,0
19,Female,Widowed,High,8,2260.34,282.5425,4,2.0,1.0,1.0,34,121,Mobile App,0
54,Female,Married,Medium,1,13.04,13.04,1,2.0,1.0,0.0,29,298,Website,0
28,Male,Single,Medium,1,444.84,444.84,1,1.0,1.0,0.0,6,318,Online Banking,0
40,Female,Widowed,Medium,8,1193.26,149.1575,5,0.0,0.0,0.0,38,186,Mobile App,0
61,Male,Single,Medium,1,334.2,334.2,1,2.0,0.0,0.0,36,213,Mobile App,0
58,Female,Married,High,7,1448.8,206.97142857142856,3,0.0,0.0,0.0,48,93,Mobile App,0
29,Male,Married,Low,5,1735.16,347.03200000000004,4,1.0,1.0,1.0,42,340,Online Banking,0
20,Female,Divorced,High,7,1753.55,250.50714285714284,3,0.0,0.0,0.0,26,257,Mobile App,0
69,Male,Divorced,Low,8,1883.08,235.385,4,2.0,2.0,0.0,18,268,Website,0
34,Female,Widowed,High,7,702.9200000000001,100.41714285714286,4,0.0,0.0,0.0,11,185,Mobile App,0
50,Male,Married,Low,7,2412.6800000000003,344.66857142857145,4,0.0,0.0,0.0,27,202,Mobile App,0
18,Female,Married,Low,7,1471.29,210.18428571428572,5,0.0,0.0,0.0,30,90,Online Banking,0
56,Male,Married,High,1,25.75,25.75,1,2.0,1.0,1.0,18,235,Website,0
37,Male,Married,Medium,8,2053.13,256.64125,4,2.0,1.0,0.0,43,244,Online Banking,1
64,Male,Single,High,6,1983.84,330.64,4,1.0,1.0,1.0,4,161,Mobile App,0
60,Female,Married,Medium,3,425.88,141.96,3,2.0,1.0,0.0,6,204,Mobile App,0
69,Male,Divorced,High,3,1064.88,354.96000000000004,3,2.0,0.0,0.0,22,353,Mobile App,0
58,Female,Widowed,Low,5,955.49,191.098,3,1.0,0.0,0.0,2,37,Website,1
31,Female,Widowed,Medium,1,181.34,181.34,1,0.0,0.0,0.0,47,306,Mobile App,0
48,Female,Widowed,Low,5,1241.5,248.3,3,1.0,0.0,0.0,48,151,Online Banking,0
42,Female,Single,Low,8,2356.35,294.54375,5,1.0,0.0,0.0,40,304,Website,0
20,Male,Married,Low,4,1126.93,281.7325,3,2.0,2.0,0.5,32,125,Website,1
21,Female,Widowed,High,9,2164.75,240.52777777777777,4,1.0,0.0,0.0,39,197,Mobile App,0
48,Male,Divorced,Low,7,1448.33,206.9042857142857,4,1.0,0.0,0.0,21,81,Website,1
52,Female,Single,High,7,2532.71,361.8157142857143,5,1.0,0.0,0.0,8,242,Mobile App,0
61,Male,Married,Medium,6,1972.76,328.79333333333335,3,2.0,1.0,1.0,25,20,Website,0
31,Female,Married,Low,3,606.09,202.03,2,1.0,0.0,0.0,41,71,Mobile App,0
66,Female,Married,Medium,7,1801.46,257.3514285714286,4,1.0,1.0,1.0,36,298,Mobile App,1
58,Male,Married,Medium,7,1218.9,174.12857142857143,4,2.0,0.0,0.0,4,35,Website,0
26,Female,Single,High,6,936.78,156.13,4,0.0,0.0,0.0,15,100,Website,1
37,Female,Divorced,Medium,1,429.79,429.79,1,1.0,0.0,0.0,28,302,Website,0
49,Female,Married,High,3,741.63,247.21,2,0.0,0.0,0.0,20,240,Website,0
26,Female,Single,High,2,412.58000000000004,206.29000000000002,2,0.0,0.0,0.0,38,117,Website,0
44,Female,Single,Medium,7,1985.93,283.70428571428573,4,0.0,0.0,0.0,6,336,Online Banking,0
20,Female,Divorced,Medium,2,715.6800000000001,357.84000000000003,1,0.0,0.0,0.0,30,254,Mobile App,0
21,Female,Single,Medium,5,1491.65,298.33000000000004,4,2.0,0.0,0.0,32,203,Online Banking,0
62,Female,Single,High,3,1135.44,378.48,1,1.0,0.0,0.0,49,255,Online Banking,1
32,Male,Widowed,High,2,97.19,48.595,2,0.0,0.0,0.0,41,262,Online Banking,0
50,Female,Widowed,Medium,6,1284.89,214.14833333333334,4,2.0,1.0,0.0,4,70,Online Banking,0
22,Male,Divorced,High,3,460.87,153.62333333333333,2,0.0,0.0,0.0,35,75,Mobile App,0
21,Female,Widowed,Medium,2,513.26,256.63,2,2.0,1.0,0.0,30,357,Mobile App,0
63,Male,Single,High,6,1768.25,294.7083333333333,5,2.0,0.0,0.0,49,278,Mobile App,0
29,Male,Single,High,3,574.4699999999999,191.48999999999998,3,2.0,0.0,0.0,41,194,Mobile App,0
40,Male,Divorced,Low,7,1417.97,202.56714285714287,3,1.0,0.0,0.0,22,275,Website,1
31,Female,Single,Low,7,1942.65,277.5214285714286,5,2.0,0.0,0.0,2,320,Website,0
63,Female,Divorced,Medium,3,1172.53,390.8433333333333,2,2.0,1.0,1.0,12,178,Website,0
29,Male,Widowed,Low,1,270.34,270.34,1,2.0,0.0,0.0,34,235,Website,0
34,Female,Widowed,High,5,1388.97,277.794,3,0.0,0.0,0.0,34,70,Website,0
42,Female,Married,Medium,6,1711.71,285.285,3,2.0,0.0,0.0,14,300,Website,0
47,Male,Widowed,Low,8,2134.16,266.77,5,2.0,1.0,1.0,39,344,Website,0
39,Female,Married,Medium,4,925.4300000000001,231.35750000000002,3,2.0,1.0,0.0,39,291,Online Banking,1
64,Male,Married,Medium,7,1461.25,208.75,4,0.0,0.0,0.0,45,194,Online Banking,0
43,Male,Married,High,6,1270.25,211.70833333333334,3,2.0,1.0,1.0,6,358,Website,0
34,Female,Single,Low,6,1702.06,283.6766666666667,3,2.0,1.0,0.0,8,325,Online Banking,0
37,Male,Married,High,3,956.5799999999999,318.85999999999996,3,2.0,0.0,0.0,27,140,Online Banking,1
51,Female,Widowed,Medium,1,336.18,336.18,1,2.0,0.0,0.0,12,300,Mobile App,0
58,Female,Divorced,Medium,6,1767.9,294.65000000000003,4,2.0,2.0,0.0,21,260,Website,0
50,Female,Widowed,Medium,2,454.14,227.07,2,2.0,0.0,0.0,38,238,Online Banking,0
54,Female,Divorced,Low,4,741.9699999999999,185.49249999999998,3,0.0,0.0,0.0,4,339,Mobile App,0
24,Male,Widowed,High,1,99.58,99.58,1,0.0,0.0,0.0,25,35,Mobile App,0
39,Female,Divorced,High,8,1799.17,224.89625,4,0.0,0.0,0.0,43,279,Website,0
49,Female,Widowed,Low,2,436.89,218.445,1,0.0,0.0,0.0,24,212,Online Banking,0
31,Female,Divorced,High,4,1328.06,332.015,4,0.0,0.0,0.0,12,81,Mobile App,0
25,Male,Married,High,7,1727.27,246.75285714285715,4,0.0,0.0,0.0,29,161,Online Banking,0
42,Male,Divorced,Medium,6,1222.21,203.70166666666668,3,0.0,0.0,0.0,35,304,Online Banking,0
33,Female,Married,Medium,7,1047.61,149.6585714285714,5,1.0,0.0,0.0,37,201,Website,0
59,Female,Widowed,Medium,7,2092.89,298.9842857142857,3,1.0,1.0,0.0,30,312,Website,1
36,Female,Divorced,Low,2,734.1,367.05,2,0.0,0.0,0.0,41,60,Online Banking,0
58,Female,Divorced,Medium,6,1343.7,223.95000000000002,4,2.0,1.0,1.0,42,55,Online Banking,0
33,Female,Widowed,High,5,1570.8600000000001,314.172,3,2.0,0.0,0.0,35,117,Mobile App,0
29,Male,Married,Low,8,2576.78,322.0975,4,1.0,0.0,0.0,1,140,Online Banking,1
56,Female,Married,High,7,1766.57,252.36714285714285,4,0.0,0.0,0.0,40,203,Mobile App,0
65,Male,Single,Low,4,1624.32,406.08,3,0.0,0.0,0.0,26,167,Online Banking,0
47,Male,Single,High,3,1030.46,343.4866666666667,2,0.0,0.0,0.0,35,50,Online Banking,0
19,Female,Single,Low,4,1277.29,319.3225,3,1.0,1.0,0.0,42,199,Mobile App,1
49,Male,Divorced,High,7,1702.45,243.20714285714286,4,0.0,0.0,0.0,7,212,Website,0
62,Female,Divorced,Medium,6,1736.26,289.37666666666667,3,1.0,0.0,0.0,4,163,Online Banking,0
42,Male,Divorced,Low,8,2520.32,315.04,5,0.0,0.0,0.0,5,230,Website,0
42,Male,Widowed,High,8,2650.29,331.28625,3,2.0,0.0,0.0,39,170,Online Banking,0
21,Female,Single,High,7,1461.18,208.74,4,1.0,0.0,0.0,11,297,Mobile App,0
36,Male,Widowed,High,7,1250.35,178.62142857142857,5,0.0,0.0,0.0,15,54,Online Banking,1
65,Female,Single,High,6,2185.36,364.2266666666667,4,2.0,0.0,0.0,32,77,Website,0
21,Female,Single,Medium,9,2559.03,284.3366666666667,4,1.0,0.0,0.0,37,9,Website,0
60,Female,Divorced,Medium,6,1468.07,244.6783333333333,3,2.0,2.0,0.5,9,119,Online Banking,1
30,Female,Married,Low,4,1353.42,338.355,3,0.0,0.0,0.0,47,315,Online Banking,1
56,Female,Single,Low,8,2082.19,260.27375,4,2.0,0.0,0.0,32,115,Online Banking,0
53,Female,Married,High,3,817.4200000000001,272.47333333333336,3,2.0,0.0,0.0,33,105,Website,0
40,Male,Widowed,Low,8,1576.7,197.0875,5,0.0,0.0,0.0,23,196,Online Banking,1
23,Male,Divorced,High,3,770.5,256.8333333333333,1,2.0,0.0,0.0,15,4,Mobile App,0
41,Female,Single,Low,6,1482.99,247.165,3,2.0,1.0,0.0,30,98,Online Banking,1
61,Male,Divorced,Low,1,398.99,398.99,1,0.0,0.0,0.0,16,353,Online Banking,1
50,Male,Widowed,High,3,762.4399999999999,254.14666666666665,2,1.0,0.0,0.0,22,103,Mobile App,1
29,Female,Married,Medium,9,2654.84,294.9822222222222,3,1.0,1.0,1.0,43,84,Mobile App,1
58,Male,Divorced,High,2,859.47,429.735,1,1.0,1.0,0.0,30,158,Online Banking,0
38,Female,Divorced,Medium,9,2185.9300000000003,242.88111111111115,4,1.0,1.0,0.0,1,13,Mobile App,0
28,Female,Single,Low,3,726.73,242.24333333333334,3,2.0,1.0,1.0,35,319,Online Banking,1
61,Male,Married,Medium,9,2362.18,262.46444444444444,4,1.0,0.0,0.0,18,23,Website,0
55,Female,Widowed,High,7,1649.9,235.70000000000002,4,2.0,2.0,1.0,15,194,Online Banking,0
46,Female,Single,Low,9,2965.09,329.45444444444445,5,0.0,0.0,0.0,21,228,Online Banking,0
65,Female,Divorced,Medium,4,1171.1399999999999,292.78499999999997,3,1.0,0.0,0.0,40,283,Mobile App,0
58,Female,Divorced,Medium,7,1887.6799999999998,269.6685714285714,3,2.0,1.0,0.0,2,8,Online Banking,0
20,Male,Married,High,5,1519.1399999999999,303.828,4,1.0,1.0,1.0,30,128,Online Banking,1
45,Female,Widowed,Low,1,356.39,356.39,1,1.0,1.0,1.0,40,329,Website,0
37,Male,Widowed,Low,7,1607.36,229.62285714285713,5,1.0,0.0,0.0,32,357,Website,0
43,Female,Divorced,Medium,7,1968.79,281.2557142857143,5,1.0,1.0,0.0,28,283,Website,1
41,Male,Widowed,Medium,4,980.71,245.1775,2,0.0,0.0,0.0,11,143,Online Banking,1
69,Male,Single,Medium,5,1319.11,263.822,4,1.0,1.0,0.0,7,29,Online Banking,0
64,Female,Married,Low,9,2220.26,246.6955555555556,5,2.0,1.0,1.0,1,129,Mobile App,1
38,Male,Divorced,Medium,7,2672.69,381.8128571428571,4,1.0,1.0,1.0,43,198,Mobile App,0
47,Female,Widowed,Medium,1,208.67,208.67,1,2.0,0.0,0.0,28,128,Mobile App,0
21,Female,Widowed,Low,1,92.62,92.62,1,1.0,0.0,0.0,39,335,Website,0
53,Male,Single,Low,4,832.85,208.2125,2,2.0,1.0,1.0,19,198,Mobile App,0
57,Male,Widowed,High,6,1469.67,244.94500000000002,4,1.0,0.0,0.0,39,291,Online Banking,0
27,Male,Single,Low,8,2395.72,299.465,5,1.0,0.0,0.0,32,130,Website,1
27,Male,Married,Low,1,489.07,489.07,1,1.0,1.0,1.0,49,217,Online Banking,1
59,Female,Divorced,High,9,2940.59,326.7322222222222,5,2.0,0.0,0.0,30,331,Website,1
41,Male,Single,Low,1,13.04,13.04,1,2.0,1.0,0.0,2,4,Website,0
21,Female,Widowed,High,2,525.02,262.51,2,1.0,0.0,0.0,44,299,Online Banking,0
64,Male,Widowed,Low,5,1511.8700000000001,302.374,4,0.0,0.0,0.0,43,270,Online Banking,0
44,Male,Married,High,1,459.39,459.39,1,1.0,0.0,0.0,37,359,Online Banking,0
68,Female,Single,Medium,3,461.36,153.78666666666666,3,1.0,0.0,0.0,19,38,Online Banking,0
62,Male,Divorced,Medium,5,1096.16,219.23200000000003,3,0.0,0.0,0.0,26,13,Mobile App,0
21,Female,Widowed,Medium,9,2123.87,235.98555555555555,4,2.0,0.0,0.0,1,199,Mobile App,0
49,Male,Single,High,3,734.74,244.91333333333333,2,1.0,0.0,0.0,42,264,Mobile App,0
27,Male,Widowed,Medium,3,865.97,288.6566666666667,3,0.0,0.0,0.0,28,65,Online Banking,1
28,Female,Divorced,Low,8,1170.04,146.255,4,2.0,0.0,0.0,26,169,Online Banking,1
